"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ET000063500","1987-03-31","6.083","37.633","1290.0","ARBA MINCH, ET","  322",",,Q","  175",",,Q"
"ET000063500","1987-04-01","6.083","37.633","1290.0","ARBA MINCH, ET","  314",",,Q","  204",",,Q"
"ET000063500","1987-04-02","6.083","37.633","1290.0","ARBA MINCH, ET","  304",",,Q","  196",",,Q"
"ET000063500","1987-04-03","6.083","37.633","1290.0","ARBA MINCH, ET","  335",",,Q","  184",",,Q"
"ET000063500","1987-04-04","6.083","37.633","1290.0","ARBA MINCH, ET","  330",",,Q","  180",",,Q"
"ET000063500","1987-04-05","6.083","37.633","1290.0","ARBA MINCH, ET","  318",",,Q","  175",",,Q"
"ET000063500","1987-04-06","6.083","37.633","1290.0","ARBA MINCH, ET","  276",",,Q","  188",",,Q"
"ET000063500","1987-04-07","6.083","37.633","1290.0","ARBA MINCH, ET","  272",",,Q","  185",",,Q"
"ET000063500","1987-04-08","6.083","37.633","1290.0","ARBA MINCH, ET","  275",",,Q","  180",",,Q"
"ET000063500","1987-04-09","6.083","37.633","1290.0","ARBA MINCH, ET","  270",",,Q","  170",",,Q"
"ET000063500","1987-04-10","6.083","37.633","1290.0","ARBA MINCH, ET","  306",",,Q","  160",",,Q"
"ET000063500","1987-04-11","6.083","37.633","1290.0","ARBA MINCH, ET","  300",",,Q","  180",",,Q"
"ET000063500","1987-04-12","6.083","37.633","1290.0","ARBA MINCH, ET","  302",",,Q","  193",",,Q"
"ET000063500","1987-04-13","6.083","37.633","1290.0","ARBA MINCH, ET","  308",",,Q","  200",",,Q"
"ET000063500","1987-04-14","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  175",",,Q"
"ET000063500","1987-04-15","6.083","37.633","1290.0","ARBA MINCH, ET","  310",",,Q","  162",",,Q"
"ET000063500","1987-04-16","6.083","37.633","1290.0","ARBA MINCH, ET","  304",",,Q","  155",",,Q"
"ET000063500","1987-04-17","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  190",",,Q"
"ET000063500","1987-04-18","6.083","37.633","1290.0","ARBA MINCH, ET","  294",",,Q","  172",",,Q"
"ET000063500","1987-04-19","6.083","37.633","1290.0","ARBA MINCH, ET","  312",",,Q","  176",",,Q"
"ET000063500","1987-04-20","6.083","37.633","1290.0","ARBA MINCH, ET","  306",",,Q","  210",",,Q"
"ET000063500","1987-04-21","6.083","37.633","1290.0","ARBA MINCH, ET","  285",",,Q","  180",",,Q"
"ET000063500","1987-04-22","6.083","37.633","1290.0","ARBA MINCH, ET","  305",",,Q","  175",",,Q"
"ET000063500","1987-04-23","6.083","37.633","1290.0","ARBA MINCH, ET","  313",",,Q","  172",",,Q"
"ET000063500","1987-04-24","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  175",",,Q"
"ET000063500","1987-04-25","6.083","37.633","1290.0","ARBA MINCH, ET","  321",",,Q","  182",",,Q"
"ET000063500","1987-04-26","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  202",",,Q"
"ET000063500","1987-04-27","6.083","37.633","1290.0","ARBA MINCH, ET","  325",",,Q","  196",",,Q"
"ET000063500","1987-04-28","6.083","37.633","1290.0","ARBA MINCH, ET","  322",",,Q","  200",",,Q"
"ET000063500","1987-04-29","6.083","37.633","1290.0","ARBA MINCH, ET","  287",",,Q","  175",",,Q"
"ET000063500","1987-04-30","6.083","37.633","1290.0","ARBA MINCH, ET","  295",",,Q","  181",",,Q"
